,"TIC, sector, std of lc, and noise are the same 
for all 4 ranges
(0-1, 1-5, 5-10, 10-15 days)",,,,0-1 day range,,,,.9-5 day range,,,,4.9-10 day range,,,,9.9-15 day range,,,
,TIC,sector,std of lc,noise level [%],period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise
variable,166698220,2,0.00014449,0.00018933,0.8457075015837568 d,0.00652218,0.00017879,34.4483283,4.659933144289871 d,0.00164894,0.00044127,8.70925846,4.946394098930785 d,0.00122975,0.00043589,6.49520443,10.432165658974862 d,0.00071013,0.00056493,3.7507176
,166698220,3,0.00013343,0.00020598,0.8492311314999521 d,0.00540221,0.00019678,26.2270374,0.9030121269847281 d,0.00215454,0.00054007,10.4600016,6.697229229606994 d,0.00095848,0.00063562,4.65328834,11.575030777089289 d,0.0007805,0.0006571,3.78922701
,166698220,29,0.00017358,0.00024601,0.8431836140698064 d,0.00475777,0.00024022,19.3399822,4.303952453253542 d,0.00238811,0.00075698,9.70748445,9.251879725048408 d,0.00100947,0.00073331,4.10341408,10.099863324080363 d,0.00089621,0.00046638,3.64302013
,166698220,30,0.00015619,0.00021363,0.8446378628923239 d,0.00581054,0.00020528,27.1989222,4.484457396282137 d,0.0013287,0.00058654,6.21958707,10.0 d,0.00115451,0.00068878,5.40420885,10.275039743305475 d,0.00114358,0.00095083,5.35303768
,41232189,3,0.00047138,0.0007428,0.24887512346517382 d,0.03686903,0.00027156,49.6355062,4.176202015674583 d,0.00279565,0.00120656,3.76368277,5.915723488516116 d,0.00164832,0.00101154,2.21907839,10.388997290296613 d,0.00146802,0.00121157,1.97634048
,41232189,6,0.00047012,0.00068436,0.26240389725970925 d,0.03428391,0.000288,50.0962073,3.223392879165013 d,0.00317298,0.00078992,4.63641402,6.446785758330022 d,0.00321066,0.0017997,4.6914711,10.61292888938486 d,0.00066961,0.00045301,0.97844994
,41232189,9,0.00049193,0.00069578,0.24865596010727126 d,0.0369367,0.00031068,53.0863958,4.140687625746461 d,0.00322729,0.00082323,4.63834215,5.464135633046823 d,0.00275527,0.00140513,3.9599493,15.0 d,0.0013534,0.00084171,1.94514038
,41232189,10,0.00043815,0.00060884,0.24872287197353596 d,0.03589458,0.00026995,58.95613,3.2966935733791045 d,0.00274802,0.00111704,4.51356007,5.335135771168427 d,0.00162264,0.00101734,2.66516009,15.0 d,0.00089313,0.00078771,1.46695297
variable,41232189,13,0.00051688,0.00065488,0.24892377621458864 d,0.03733099,0.00039153,57.004383,3.6991387724316653 d,0.00378947,0.00110883,5.78650955,7.398277544863331 d,0.00383254,0.00247003,5.85229067,11.393852742604544 d,0.00135604,0.00098991,2.07067395
,41232189,30,0.00045611,0.00064113,0.2491977419770061 d,0.03559553,0.00026225,55.5203885,4.474734075268988 d,0.00263314,0.00071918,4.1070536,5.609891807965684 d,0.00358246,0.00217562,5.58776394,12.148014601180032 d,0.00262883,0.00220357,4.10033695
,41232189,33,0.00047864,0.00064208,0.24883641532839068 d,0.03662283,0.00023324,57.0381211,4.479869195982384 d,0.00236082,0.00072406,3.67685274,6.1758076384929605 d,0.00248129,0.00118367,3.86447275,13.439607587947155 d,0.00066233,0.00060892,1.03154928
,41232189,36,0.00043948,0.00062637,0.2489892473537616 d,0.03187405,0.00026849,50.8870492,5.0 d,0.0043793,0.00070982,6.99157257,4.986505111391004 d,0.00439515,0.00267181,7.01686789,9.981990612876462 d,0.00293861,0.00225453,4.69150268
