star,sector,std of lc,best period [days] [range 0-1 days],max amplitude [e- s-] [range 0-1 days],average amplitude [range 0-1 days],best period [days] [range .9-5 days],max amplitude [e- s-] [range .9-5 days],average amplitude [range .9-5 days],mean noise level [sigma_amp]
TIC 181240911,10,0.0003408288585512379,0.835883231378734,2.506891343253281e-05,4.718575761346723e-06,1.0761245846980687,4.3308944046564e-05,1.6352346338477905e-05,4.770641857071924e-06
TIC 165370459,22,0.0005420001920542879,0.5671894587071812,3.914855959246485e-05,7.400113135313355e-06,1.4498269937932318,3.276674534569923e-05,1.573230537514014e-05,7.409527599390912e-06
TIC 165370459,23,0.0004728332838711569,0.04337072378531531,2.912243676539355e-05,7.431287480186353e-06,1.456553714898926,2.4173561284826607e-05,1.1501431287108617e-05,7.408476222546186e-06
TIC 219752116,24,0.0009033015201654735,0.8687870428332134,5.218468524788535e-05,1.3506080974829597e-05,1.2494619829689326,7.026361299468844e-05,1.584156156296345e-05,1.345713907139591e-05
TIC 27533327,14,0.0008092012079776099,1.0,0.00019420082185359915,nan,0.9992610475659638,0.00019482983183566083,3.580662591492544e-05,1.0583086498875047e-05
TIC 27533327,15,0.0016585845449220117,0.9221079188878035,0.00012687255228718895,nan,1.1125798979191646,0.00019367566726199292,6.426415447633497e-05,2.293822780146061e-05
TIC 39464221,25,0.0001948883526584652,0.5198950277718052,1.3704999276822745e-05,nan,1.0723425838690488,1.5362409950402865e-05,5.732235704027282e-06,2.910702459041453e-06
TIC 39464221,26,0.00018476421690497328,1.0,3.7475402152216506e-05,2.4757468803018458e-06,1.0037588901169239,3.764774491297799e-05,7.988698785747704e-06,2.516816179378081e-06
TIC 441120034,1,0.00020773305474215345,0.8607592239898594,2.115362232716539e-05,2.6522741424718118e-06,1.6594335140087495,2.754669879609643e-05,1.2847665603833838e-05,2.7312111829937063e-06
TIC 441120034,28,0.0003116303408682641,0.8577218149703871,2.3778200339045553e-05,4.6544568317638804e-06,2.030575707120732,3.741243901287656e-05,1.0830130933722717e-05,4.68581777538099e-06
TIC 140282069,5,0.00027482255937183534,0.9195268860015648,1.67895835481228e-05,nan,0.9203247981084933,1.6921256845119896e-05,6.447960701283867e-06,3.6454184635033866e-06
TIC 140282069,6,0.00026662850543295984,0.6465901193215062,1.4017574866485752e-05,3.899946024307732e-06,1.6677876421149478,1.3885989399593323e-05,5.282573644440473e-06,3.881885854699547e-06
TIC 140282069,32,0.0002732595411442199,0.09289729621884027,1.3083028051816554e-05,3.6562656374702636e-06,0.9259519128699097,1.2779770832848177e-05,6.301768623322545e-06,3.64888052308777e-06
TIC 140282069,33,0.00029419827873803555,0.7916567270161491,2.6891208130611745e-05,3.910830623480362e-06,1.2811801773959677,2.2066281529872198e-05,8.734842587415114e-06,3.947004104408838e-06
TIC 32869782,6,0.0004457666561391961,0.9645578381476454,0.00011418899001522884,5.774784102996205e-06,1.7481365012243244,0.00013432484377130243,5.590017946429959e-05,6.491081040799794e-06
TIC 32869782,32,0.000398808487070963,0.981010942535561,7.931759207156334e-05,4.138163771680421e-06,2.540868506645928,0.00017420012861696794,6.22305953777251e-05,5.344806765052578e-06
TIC 32869782,33,0.00037150468892789703,0.9085745312510642,8.082275067049184e-05,3.861176615197475e-06,2.4922096977326302,0.00020336176504479918,5.769526928265813e-05,4.984014639811556e-06
TIC 365653206,13,0.0004889391413962005,0.3359782567609588,2.8753559878637508e-05,6.219066281736385e-06,1.053678356031066,2.885259173550776e-05,7.764057467277467e-06,6.195216986074323e-06
TIC 229980646,10,0.0005484315416723171,0.9764054402651506,4.6005994636397696e-05,nan,0.9750125902605047,4.621855889145397e-05,1.5860617751743213e-05,7.724575352013503e-06
TIC 229980646,37,0.0005882008883289066,0.004061398214879927,3.1538449627499026e-05,8.449893733867522e-06,1.2000748172416493,2.311193150614252e-05,7.640311375382036e-06,8.411563581396201e-06
