TIC,sector,std of lc,noise level [%],period [days],max amp [%],avg amp [%],max amp / noise
219820925,15,0.0004524673019464939,0.002451716486154277,10.263121353833254 d,0.0008521672803597821,0.0005610004949973945,0.34757986299487587
219820925,16,0.0004422587085297263,0.0024295506921037592,15.0 d,0.0010575945823975532,0.0008217088833831299,0.4353045959628762
219820925,17,0.00045698228847278985,0.0025993495739116902,10.132363248761758 d,0.0018547552035105403,0.0013100114558375116,0.7135458893739213
219820925,18,0.00045237495808693744,0.00255869045088581,9.991285803049285 d,0.0011075722654755686,0.0006858843378083502,0.43286684604311193
219820925,20,0.00045725367631979175,0.002481132357124588,12.205696983379942 d,0.0009314201961283954,0.0007210624603463296,0.3754012531632245
219820925,21,0.0004523877346448005,0.0024593431273498816,10.357361726464925 d,0.009047187992238234,0.0062076878567541224,3.6787009879289303
219820925,22,0.0004583740419974335,0.0024298197058223348,10.401843055084434 d,0.0019422590514989162,0.0011537692780205489,0.799342867639469
219820925,23,0.0004622524289563461,0.0026266228503637108,10.352361449116305 d,0.0025742096838591586,0.002151766142246546,0.980045415923609
219820925,24,0.0004413038950005627,0.002410452131400235,12.2254520509339 d,0.001993188445357504,0.0016178187851701937,0.8268940168497178
219820925,25,0.0004492843672361796,0.0026340447329558842,15.0 d,0.0013982838085401662,0.0009321028558628046,0.5308504411658316
219820925,26,0.0004548531168772618,0.0027039286715200544,13.383227280362675 d,0.0013935876980102875,0.0010431452290867668,0.5153936613375459
229945862,14,0.0002822050111012172,0.0015074606976956829,15.0 d,0.0029131309196664705,0.0017333089954833722,1.9324755359257504
229945862,15,0.0003394734822628294,0.001839453877651478,10.263166480805086 d,0.0037184989809108727,0.0019735775339122063,2.021523358692997
229945862,16,0.0003214643529218158,0.0017668150413119952,15.0 d,0.005384404919720083,0.004338478091191752,3.047520421674558
229945862,17,0.00030445489532218245,0.0017407491988414132,12.08106300827712 d,0.006585105394926656,0.0060566401955350225,3.7829145056102806
229945862,18,0.00028922892991540996,0.001593479542416324,12.032937127821612 d,0.0035929179308812165,0.0029988033337617456,2.254762508863452
229945862,19,0.00022836336028436512,0.00130230526999683,10.057160921115322 d,0.0025023616188984575,0.0021587711657020925,1.9214862110667408
229945862,20,0.0002350374576487286,0.0012753512361062215,10.288940899541686 d,0.0017697938292660128,0.0011172472596486318,1.3876913113515108
229945862,21,0.00023811564278840413,0.0012884364491872976,15.0 d,0.0011822051633758642,0.0009103210251128164,0.9175502323933474
229945862,22,0.0002888411287145438,0.0015325049024098416,10.401800659901857 d,0.0046995311727933056,0.002497224460103803,3.0665684432091287
229945862,23,0.0002947948105454251,0.0017042403503801493,10.291559450421065 d,0.004362310590979228,0.003967005152837514,2.559680381940357
229945862,24,0.0002326891783747542,0.0012709747915696068,15.0 d,0.0018860288217040114,0.001347633145318992,1.483923075590536
229945862,25,0.00021773450693949982,0.0012765243418434965,10.215993120716842 d,0.0027302886028253803,0.0014910489338897212,2.138845702607148
229945862,26,0.00023530078861637527,0.0013987736373867249,10.113168485802865 d,0.0010507904090913418,0.0005790243589350012,0.7512226288840367
440765193,7,0.0005328184543543875,0.002948360025597477,15.0 d,0.012753671446367212,0.010710071015763656,4.325683205456809
440765193,33,0.0006597651122272283,0.001982893979850393,10.241463817965581 d,0.007421619505406792,0.006350912288005694,3.742822148245538
8591766,24,0.0015289406228223732,0.00835124780183935,15.0 d,0.05331846946405898,0.03960812567344772,6.384491363352392
8591766,25,0.001370046820100198,0.008032250560124275,11.101057706930394 d,0.010626900469953134,0.008437591478339114,1.3230290054334055
417544924,23,0.0021753568962303476,0.012424883110265057,10.329778976801496 d,0.015261317972616126,0.011910738065354852,1.2282866435989
417544924,24,0.0028581255432053305,0.015611407208223165,11.190472082949226 d,0.06533272862589609,0.05273032568354732,4.1849352690949395
144599609,4,0.015127428646203856,0.0907471360227941,15.0 d,0.145248038136877,0.08190243181071567,1.6005798585246065
144599609,31,0.03149819642472807,0.09860044257241699,15.0 d,0.11377632754181459,0.09495621611438339,1.1539129498151257
207440438,16,0.01168440818734475,0.0642192141884256,12.061194514208559 d,0.03133926049555112,0.023499130502945362,0.48800442191021826
207440438,22,0.009943179527261769,0.05259086802723272,15.0 d,0.21277548759233733,0.11919641050088679,4.045863770154116
207440438,23,0.009261208843384846,0.05371173435939708,13.482091634199216 d,0.2416384250990028,0.17953183848080878,4.498801388205913
207440438,24,0.010904409935041685,0.059561128889536796,13.471333999803237 d,0.3200598570349977,0.26549673446121913,5.373636514321056
207440438,25,0.011067226724246596,0.06488445267027501,10.215891940995716 d,0.04814739358582351,0.03552356824538215,0.7420482350447704
219094190,15,0.0009696752985117768,0.005254233632685852,10.263163552172655 d,0.006328078163911276,0.0037382924043631036,1.204377004582588
219094190,16,0.0008039982167780556,0.004416768706527389,10.085324736816554 d,0.013217571083925189,0.008136225583431021,2.9925884650449093
219094190,19,0.0010262644202461565,0.0058195168100822585,15.0 d,0.012455519856391976,0.010728888155273304,2.1403013794569516
219094190,22,0.00108434168771947,0.005816071967348091,10.26834313284067 d,0.019025962836935913,0.012845469579859893,3.2712736265557307
219094190,24,0.0007121051885748305,0.003889599636502592,11.190471179961042 d,0.009531068520499751,0.008060487730474438,2.4503983471856228
219094190,25,0.0008259226199263625,0.004842183003671114,10.215940027650419 d,0.011763451285985905,0.006114943416374038,2.429369413974526
233095291,14,0.0031770299309759826,0.016970810467399473,13.490566111428446 d,0.0790328285159323,0.07406040234058903,4.656986103742806
233095291,15,0.0023423165081319698,0.012691958013482187,10.263142171298412 d,0.024591210253121772,0.01279894347768104,1.9375426728483862
233095291,16,0.0023996814736766646,0.0131826636146563,10.085309718072175 d,0.026318171899843753,0.013395619701148746,1.996422928563813
233095291,18,0.003366733512045994,0.018548701119842293,13.353650520848088 d,0.07204132054891484,0.05950786303977959,3.883901092775134
233095291,19,0.0027794846401487457,0.01585899119830019,10.054360273683319 d,0.034212466103336385,0.021671776782479446,2.1572914490931407
233095291,20,0.0034092409843612904,0.018499092642872975,10.288978658032123 d,0.0305387780307369,0.026815573374006953,1.6508257253634748
233095291,21,0.0030624989525678916,0.01657881527270861,15.0 d,0.05248589229619314,0.035488213436690126,3.1658409502030787
233095291,22,0.0023674585853271255,0.012499578513502365,13.507262073750509 d,0.02543315281413213,0.0219661226159989,2.0347208337192
233095291,23,0.0023373223818666266,0.013322333988345607,10.30946000466586 d,0.0327692663988691,0.017878323672383064,2.4597241314874476
233095291,24,0.0031548012375257634,0.01723188363684934,15.0 d,0.030751589539590993,0.02622915620135676,1.7845750463304302
233095291,25,0.003399243850464731,0.01992893813650653,15.0 d,0.03852319609483658,0.034373293180937764,1.933028033453947
233095291,26,0.003029514714496846,0.018009312002868705,10.113132452824768 d,0.018917836386133972,0.012217835287959224,1.0504474786777278
219114641,14,0.0013005699923163115,0.0069472832547117,11.230374090799613 d,0.01078276014951342,0.009239861908958145,1.5520829875765423
219114641,15,0.001347886885665281,0.007303591850373093,12.187514160518024 d,0.011556286451129627,0.009657357387677422,1.5822744052351847
219114641,16,0.0013558709468356061,0.007448484639769191,12.061234466771962 d,0.004500048180528541,0.0038116116528715714,0.6041562006453954
219114641,17,0.001265065863646042,0.007195789632521747,13.391666075750539 d,0.008101872637565191,0.007138718295184776,1.1259184955808539
219114641,18,0.0013120207785340566,0.007231949419442442,10.045876761844296 d,0.014146551459216335,0.013251509287326603,1.9561186947995808
219114641,20,0.0012705438408376411,0.006894176248115988,10.288980294572742 d,0.007341582990841545,0.0047049521910861895,1.064896330848493
219114641,21,0.0012163665389483469,0.006560357753299448,15.0 d,0.01262515667694002,0.00970102163730855,1.9244616150072544
219114641,23,0.0015544741247661732,0.008832873557048523,11.221562164498355 d,0.01347416835664753,0.01155397045561432,1.5254569500652833
219114641,24,0.0012355588967635828,0.006748763402984475,12.22542472501725 d,0.0035836595464250687,0.0032581113249884595,0.5310098061580115
219114641,25,0.0013125785863004505,0.007695328313121347,10.215939594238874 d,0.009406752695689979,0.0072194116774711315,1.2223978383937788
219114641,26,0.00133587316889482,0.00794125758154088,10.11312951544722 d,0.01394207958524621,0.01162798849540213,1.7556513489316843
233067231,14,0.0009265982124717892,0.004949629995603827,12.25713320551543 d,0.004818339114301129,0.003560288365746647,0.9734746069061104
233067231,15,0.0012531917579376769,0.006790481610562424,15.0 d,0.013344754764944294,0.009267943926543001,1.9652147712449237
233067231,16,0.001019345101357077,0.005599778022976347,15.0 d,0.009316858461733683,0.006607220727805727,1.663790675899268
233067231,17,0.0011174072188413111,0.006419008265115342,13.354897575938686 d,0.028559496636204617,0.023813103342718318,4.449207020251661
233067231,18,0.001000406440542748,0.005549304351324231,12.032950585918718 d,0.014648451201168224,0.012855644901392153,2.639691441265546
233067231,19,0.0008652596640480975,0.004891529038361899,10.076910207738843 d,0.007554086129662991,0.003463074366012781,1.5443200010507845
